Song Title,duration_ms,tempo,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,chroma,explicit,popularity
Smooth Criminal,30000.0,89.28571428571429,0.09662603,-72.8034,24.45406,0.8509451577526699,0.00051839266,1.3010753,21.031016646372507,0.49039233,0.0,50.0
Leave Me Alone,29753.469387755104,147.65625,0.19896325,-61.46879,20.701466,0.8552444950009684,0.0076157344,1.0093088,21.987502927347307,0.41898534,0.0,50.0
Black or White,29753.469387755104,114.84375,0.17403725,-60.697006,22.120207,0.8346047037156441,0.00972214,1.5188801,21.219666771333408,0.4925083,0.0,50.0
Remember the Time,30000.0,104.16666666666667,0.15425378,-65.11659,20.353655,0.8702493667168878,0.00016935481,1.4541534,20.406853003486393,0.5446377,0.0,50.0
Heal the World,29753.469387755104,123.046875,0.019182537,-69.287766,19.026058,0.8878238975240205,0.00027708113,0.8997909,26.060227150966586,0.2731114,0.0,50.0
Jam,30000.0,129.19921875,0.10580388,-58.597225,17.856245,0.8535381886001303,0.0005184428,1.1377983,21.756698528609167,0.3938719,0.0,50.0
In the Closet,30000.0,135.99917763157896,0.16210572,-65.450874,22.029234,0.8307770895117442,0.00069086225,1.3306882,22.52035460681531,0.4569696,0.0,50.0
Who Is It,30000.0,133.92857142857142,0.055847216,-67.145485,31.049694,0.8735940703180896,0.0016941986,1.3179016,20.830340331548307,0.4821236,0.0,50.0
You Are Not Alone,30000.0,119.68085106382979,0.121671036,-66.52139,16.49668,0.863344495131029,0.00012731602,1.0975112,21.57643509266337,0.45171106,0.0,50.0
Earth Song,30000.0,125.0,0.0091999965,-72.68746,9.714562,0.9538034291092967,1.4285425e-05,0.82458484,21.252658839074492,0.35084367,0.0,50.0
They Don't Care About Us,30000.0,93.75,0.071836315,-67.33589,20.992737,0.8630490766253083,0.00031379273,1.5487856,19.226678655072327,0.59149945,0.0,50.0
Stranger in Moscow,29753.469387755104,129.19921875,0.010072246,-78.44708,14.695291,0.8246180565142541,0.003350784,0.77055067,17.14279089091202,0.70793897,0.0,50.0
Scream,29753.469387755104,129.19921875,0.17334503,-68.7087,24.602213,0.9007438071040699,0.0027457613,1.3362648,21.701394868448332,0.48372167,0.0,50.0
Ghosts,30000.0,165.44117647058823,0.06763064,-62.52756,20.060118,0.8917496985772185,0.00981571,1.1704284,22.05616598563991,0.3864155,0.0,50.0
Blood on the Dance Floor,30000.0,112.5,0.2822153,-66.87768,20.259174,0.9005037833804848,0.00016218233,1.5116773,20.710023892633156,0.5182141,0.0,50.0
You Rock My World,29753.469387755104,95.703125,0.13134657,-67.34806,27.311214,0.813659346465979,0.0007484704,1.5589936,22.39498854292598,0.5453129,0.0,50.0
Butterflies,30000.0,119.68085106382979,0.066830315,-64.166916,24.089172,0.8552587707061621,0.000538259,1.1299151,22.79933984706575,0.356591,0.0,50.0
One More Chance,30000.0,133.92857142857142,0.09672738,-71.0335,21.196848,0.9410822240838304,5.910358e-05,0.82087785,23.076331775490154,0.33646026,0.0,50.0
Love Never Felt So Good,29753.469387755104,117.45383522727273,0.19273812,-66.7677,25.02713,0.8644438582395307,0.005363908,1.3875234,20.840140970640192,0.5365292,0.0,50.0
Slave to the Rhythm,29753.469387755104,123.046875,0.1736057,-64.58038,16.447592,0.8908310076251402,0.0012559993,1.0585592,20.950757110110718,0.46214402,0.0,50.0
A Place with No Name,29753.469387755104,120.18531976744185,0.25774306,-70.127914,25.704863,0.9376470698258305,0.00096676854,1.3192067,20.579628109958627,0.5740444,0.0,50.0
That's All Right,29753.469387755104,103.359375,0.13182841,-69.456955,16.569014,0.9232175701269174,0.012116797,1.046934,22.65619644586979,0.3797596,0.0,50.0
Heartbreak Hotel,29753.469387755104,97.50884433962264,0.0601219,-70.09931,22.65206,0.9160389489785385,0.0008481289,1.0448534,22.77515498174469,0.41321987,0.0,50.0
Hound Dog,30000.0,127.8409090909091,0.18201703,-68.55274,20.466764,0.9013743195687909,9.647463e-05,1.2944363,20.518615506485837,0.5197025,0.0,50.0
Don't Be Cruel,29753.469387755104,206.71875,0.0774081,-65.08751,30.257294,0.8029487627797577,0.0012614396,1.6963805,20.587994185802216,0.6648478,0.0,50.0
Love Me Tender,30000.0,97.50884433962264,0.1426089,-71.96357,18.00279,0.9533423666749204,0.00085755804,1.1703812,21.62763883799072,0.43654707,0.0,50.0
All Shook Up,30000.0,148.02631578947367,0.22004534,-68.81722,16.57265,0.9328753742683145,0.00038976362,1.0666701,20.334945246887447,0.46159112,0.0,50.0
Jailhouse Rock,30000.0,120.18531976744185,0.092991546,-61.76154,22.270714,0.86823383575278,0.013698361,1.2164787,21.787165431755902,0.43384224,0.0,50.0
Don't,30000.0,133.92857142857142,0.1508354,-67.4694,29.040316,0.9007549937430962,0.0001080012,1.2489674,23.083022614077972,0.38352242,0.0,50.0
Wear My Ring Around Your Neck,30000.0,104.16666666666667,0.15777266,-72.14485,17.881926,0.944375725918077,0.00017523834,0.9515848,20.896962891695583,0.4171674,0.0,50.0
Hard Headed Woman,30000.0,125.0,0.072430484,-74.697784,22.047209,0.9630129563433146,0.0013932534,0.68086725,22.257277329687398,0.42176142,0.0,50.0
One Night,30000.0,144.23076923076923,0.096756905,-65.241615,24.44515,0.9037285150582838,7.0399015e-05,1.3448068,21.82531448806873,0.42459193,0.0,50.0
A Big Hunk o' Love,30000.0,122.28260869565217,0.24518487,-63.913143,16.781816,0.9026535100333873,0.010558803,1.1449583,20.577902563297346,0.4504934,0.0,50.0
Stuck on You,30000.0,137.1951219512195,0.18172923,-72.43522,23.80364,0.9323217519282437,0.0025260008,1.0691117,21.934556429349392,0.4347942,0.0,50.0
It's Now or Never,29753.469387755104,126.04801829268293,0.12163037,-66.89334,18.82179,0.9031349639366244,0.0021865391,1.1272067,22.040665821295978,0.4336489,0.0,50.0
Are You Lonesome Tonight?,30000.0,122.28260869565217,0.107197024,-73.580894,21.07446,0.9592020963633671,0.00011515336,0.8545269,22.435567443830738,0.4336332,0.0,50.0
Surrender,30000.0,119.68085106382979,0.28028706,-63.685997,22.137373,0.8890097507236707,0.00017609108,1.1293954,20.220968192788433,0.44184303,0.0,50.0
