Song Title,duration_ms,tempo,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,chroma,explicit,popularity
Cupid,30000.0,117.1875,0.12610652,-69.48306,26.567535,0.8951039307402284,0.0038852002,1.1023452,21.568786744551886,0.44100648,0.0,50.0
Boom,30000.0,119.68085106382979,0.28889078,-69.32169,20.841753,0.9257313181016292,4.099551e-06,1.3048469,20.2951142484816,0.61809117,0.0,50.0
Brand New Chick,30000.0,117.1875,0.23488103,-70.92444,27.697578,0.9298870972780242,0.0001598964,1.1989875,20.88976638208015,0.63147026,0.0,50.0
Rain,30000.0,165.44117647058823,0.08563606,-63.374485,24.231853,0.8722795162385375,0.002008979,1.2036768,22.47611539935648,0.4267382,0.0,50.0
Stand Behind the Music,30000.0,100.44642857142857,0.31537482,-59.72688,18.264555,0.8656125989216328,0.0028716233,1.1143845,20.671326815869946,0.4660359,0.0,50.0
You and I,30000.0,140.625,0.2929558,-62.76323,25.722002,0.8478583969495131,0.0011197042,1.6010993,20.743076074372656,0.50575405,0.0,50.0
Criminal,30000.0,87.890625,0.115642615,-73.43639,23.082214,0.9183810631026161,0.00016012174,1.1023138,21.32710336839023,0.42266148,0.0,50.0
Sunglasses at Night,29753.469387755104,129.19921875,0.06176496,-71.44987,16.800694,0.9148699701180556,0.0152407475,1.2278514,24.587294825261775,0.33784032,0.0,50.0
Never Surrender,30000.0,100.44642857142857,0.2719348,-58.470516,30.17426,0.8359112889033805,0.00059428,1.1524818,22.113741368542442,0.37949538,0.0,50.0
Everything in My Heart,30000.0,119.68085106382979,0.16192362,-64.897156,25.559353,0.9000726037517596,0.0016687806,1.0990076,22.00362058472088,0.41093445,0.0,50.0
It Ain't Enough,30000.0,135.99917763157896,0.28353027,-66.69902,21.358295,0.9127468806274908,4.1076106e-05,1.3393056,23.80367468649086,0.56270653,0.0,50.0
Boy in the Box,30000.0,119.68085106382979,0.30211863,-63.354874,22.805368,0.9100872110186483,0.001174733,1.137131,20.173096438923327,0.6796279,0.0,50.0
Eurasian Eyes,29753.469387755104,114.84375,0.17842256,-63.06419,18.235645,0.8630515112402248,0.0012812132,1.1861933,22.134433471836488,0.54910994,0.0,50.0
Can't Help Falling in Love,29753.469387755104,114.84375,0.04821884,-66.303986,22.101162,0.900170340278528,0.016067652,1.011348,21.4768777468277,0.45729315,0.0,50.0
In Your Soul,30000.0,140.625,0.2691541,-61.762127,24.818825,0.843909900466615,0.0007010539,1.3447912,21.53627881695923,0.57065016,0.0,50.0
She Got the Radio,30000.0,129.19921875,0.27215716,-64.25512,23.065159,0.8653502747691524,0.0073063294,1.3595114,23.147705983467382,0.48232067,0.0,50.0
Dancin' with My Mirror,30000.0,117.1875,0.092469,-65.62383,20.844847,0.8880072792701983,0.0012360592,1.2065924,21.13076067573507,0.23378104,0.0,50.0
At the Dance,30000.0,119.68085106382979,0.0030327095,-64.60003,27.360474,0.7631282643771854,0.026768608,1.1629406,19.31476790004584,0.43045425,0.0,50.0
Blind Faith,29753.469387755104,135.99917763157896,0.11941732,-57.756878,17.388666,0.8113877765492903,0.00035121583,1.1360781,22.136710584607666,0.4169417,0.0,50.0
Silent Talking,29753.469387755104,120.18531976744185,0.062233645,-67.89105,18.139711,0.9062275136052795,0.015677549,0.9778072,20.84366482173658,0.5047285,0.0,50.0
Break the Chain,29753.469387755104,123.046875,0.23073085,-60.46719,20.85555,0.8336772160798609,0.0054435707,1.2473623,21.948579436936708,0.43969,0.0,50.0
Talk to Me,30000.0,102.27272727272727,0.19494554,-69.47594,26.351189,0.8976445380103603,0.00010168855,1.5283045,23.20863667327795,0.38568816,0.0,50.0
I Wonder,30000.0,108.17307692307692,0.11289692,-69.86353,26.502504,0.9082728608406676,0.05542425,1.1156882,20.798797694615764,0.539835,0.0,50.0
Leonard Cohen,30000.0,133.92857142857142,0.08562973,-70.21197,19.814331,0.9163778622490355,0.0013519884,1.0832647,20.444887377950188,0.53906983,0.0,50.0
C'est la vie,30000.0,148.02631578947367,0.30601564,-61.22488,15.470755,0.9011031913855961,0.0061842683,1.0533627,20.977300298963417,0.4563371,0.0,50.0
Summer Is Gone,30000.0,98.6842105263158,0.16104834,-63.85624,25.048119,0.831873839722689,0.0043344093,1.2399869,23.92471438234863,0.3442046,0.0,50.0
Where the Sun Shines,30000.0,123.046875,0.21285704,-70.721245,26.901888,0.888043025515855,0.0011155173,2.4597328,21.50082632678496,0.5746618,0.0,50.0
The Only One,30000.0,135.99917763157896,0.10367346,-63.08147,17.99779,0.8698010893826882,0.004714961,1.1968709,23.975727419069898,0.32366163,0.0,50.0
Purple Rain,30000.0,144.23076923076923,0.16012296,-63.686935,22.40808,0.8553325947699477,0.0003532308,1.1962882,22.200981591071642,0.44044435,0.0,50.0
When Doves Cry,30000.0,125.0,0.26699802,-68.74315,23.035978,0.9028052163385762,0.00012988415,1.7061197,19.73770953843305,0.7581823,0.0,50.0
Little Red Corvette,29753.469387755104,123.046875,0.020203756,-67.79482,20.233145,0.8543368557129236,0.00041750455,1.1614285,20.74470217127322,0.51207495,0.0,50.0
1999,29753.469387755104,114.84375,0.1359407,-64.16354,18.916578,0.8646143736539139,0.013798053,1.1646539,22.22818347748082,0.5771642,0.0,50.0
Kiss,29753.469387755104,97.50884433962264,0.12919523,-69.769875,23.001537,0.9037776880575341,0.015803488,1.219641,22.193104762178205,0.5004922,0.0,50.0
Raspberry Beret,29753.469387755104,120.18531976744185,0.05858968,-63.315636,20.349337,0.852698831108925,0.00079687993,1.2359794,20.063847816118727,0.5253056,0.0,50.0
Let's Go Crazy,29753.469387755104,109.95678191489361,0.10024571,-65.463264,20.843365,0.8785563366522333,0.00028395522,1.0122534,22.592547966382234,0.3594404,0.0,50.0
Sign o' the Times,29753.469387755104,99.38401442307692,0.077209674,-69.66173,29.294697,0.8834590705864213,0.008148411,1.8594043,20.065137958591503,0.4372906,0.0,50.0
U Got the Look,30000.0,140.625,0.15015543,-72.71576,30.966694,0.9309068934688987,2.716041e-05,1.0464033,22.40469095364672,0.41514698,0.0,50.0
Cream,30000.0,125.0,0.2632641,-65.46123,21.726318,0.8780840894869855,0.0037883362,1.471395,22.73859802520679,0.45718256,0.0,50.0
Diamonds and Pearls,30000.0,139.6748310810811,0.35083994,-76.415245,16.051548,0.9854060334936016,0.0049246913,0.8756562,19.55061369180303,0.699348,0.0,50.0
Alphabet St.,30000.0,112.5,0.21952452,-64.75163,25.14724,0.8723983462757186,0.0005141404,1.3129314,22.188931536160627,0.4700431,0.0,50.0
7,30000.0,108.17307692307692,0.03232508,-76.53579,21.90919,0.9430235751816863,0.0022873904,0.8094877,20.79229715387395,0.33544463,0.0,50.0
Controversy,30000.0,85.22727272727273,0.13436693,-56.734325,23.93206,0.8189240151812849,0.03122872,1.5827856,19.003777003882536,0.61796683,0.0,50.0
I Wanna Be Your Lover,30000.0,110.29411764705883,0.29139355,-67.4938,16.801937,0.9199891322839563,0.00083549233,1.1953723,21.198437323971397,0.4633717,0.0,50.0
Delirious,30000.0,117.1875,0.11735402,-65.00139,11.013231,0.9290117278618713,4.3975462e-05,0.9840972,18.840430378362576,0.5220492,0.0,50.0
Pop Life,30000.0,107.666015625,0.054277603,-73.78943,19.443169,0.924281501738528,0.0010801414,0.978547,21.25779101632917,0.41695857,0.0,50.0
Gett Off,29753.469387755104,99.38401442307692,0.1781332,-60.80691,21.256859,0.8212111366639469,0.0036710282,1.2487209,21.609480278722465,0.47446057,0.0,50.0
Thieves in the Temple,29753.469387755104,129.19921875,0.03526004,-68.65198,24.152842,0.8800048852759892,0.008462994,1.0833082,23.21233767733182,0.36685017,0.0,50.0
The Most Beautiful Girl in the World,29753.469387755104,92.28515625,0.18684407,-62.275387,23.297377,0.8410700340173587,0.00021207449,1.0666468,22.2852954968551,0.42792335,0.0,50.0
If I Was Your Girlfriend,29753.469387755104,95.703125,0.08128424,-69.65261,23.78356,0.9104396432775353,0.011271798,1.2802429,19.90563882198737,0.39697653,0.0,50.0
Adore,30000.0,130.8139534883721,0.07731725,-72.79742,29.650587,0.9083793972466124,0.15377247,0.9698333,20.529012677978383,0.3838919,0.0,50.0
Sometimes It Snows in April,30000.0,135.99917763157896,0.1549289,-65.54853,25.739815,0.8345727568144905,0.00081079255,1.7114522,21.540854227199688,0.49826977,0.0,50.0
Nothing Compares 2 U,30000.0,119.68085106382979,0.043707404,-69.7424,16.081526,0.9211202988796818,0.0021656174,0.9046236,22.2822859394913,0.44152293,0.0,50.0
Glam Slam,30000.0,133.92857142857142,0.079361565,-71.554214,33.226707,0.9152367042454723,0.111917354,0.99904686,19.93957303766692,0.379049,0.0,50.0
Gold,30000.0,89.28571428571429,0.14403911,-73.46436,28.636108,0.9359362243235502,0.015810918,0.92505944,21.16214166504807,0.38660923,0.0,50.0
Musicology,30000.0,92.28515625,0.21249203,-65.60045,21.124416,0.8910169162219876,0.0023020857,1.0883712,21.98770318343704,0.36982474,0.0,50.0
Black Sweat,30000.0,147.65625,0.1910096,-65.270966,20.020052,0.8566916517187209,0.007893063,1.2068936,24.36100451923783,0.3193947,0.0,50.0
Call My Name,29753.469387755104,172.265625,0.28850254,-56.72857,20.91761,0.8121483344907419,0.0009271644,1.0865171,20.347903587246744,0.5008312,0.0,50.0
Fury,30000.0,120.18531976744185,0.36703953,-56.245457,20.147095,0.8382300136241847,0.010624913,1.1980366,19.69772658037536,0.5396377,0.0,50.0
Chelsea Rodgers,30000.0,122.28260869565217,0.2323281,-66.23897,23.233294,0.8586398682051102,0.00033811748,1.5527086,20.74828175463645,0.5892189,0.0,50.0
Breakfast Can Wait,30000.0,92.21311475409836,0.21642458,-72.81717,28.930254,0.9343859683240111,0.00068108743,1.2960987,19.831546266811298,0.5757768,0.0,50.0
FUNKNROLL,30000.0,98.6842105263158,0.044302054,-64.89665,18.78695,0.8947195614741625,0.00042692907,1.0811975,20.5207013966007,0.40081346,0.0,50.0
Baltimore,30000.0,130.8139534883721,0.100124195,-71.76484,20.787992,0.9318741165181171,0.0005209311,1.21031,19.958939569924578,0.56471336,0.0,50.0
Mary Don't You Weep,29753.469387755104,107.666015625,0.0515375,-73.41835,23.22128,0.9337411233101952,0.0014670086,1.0677036,20.806205684737808,0.4323342,0.0,50.0
Starfish and Coffee,29753.469387755104,101.33272058823529,0.058701687,-65.038246,22.656212,0.883448482378907,0.00041855447,0.9414163,22.65139153865131,0.42608857,0.0,50.0
Condition of the Heart,29753.469387755104,126.04801829268293,0.10534335,-65.54172,26.419167,0.8638471329793408,0.012355538,1.1821738,20.592073132701476,0.4981899,0.0,50.0
How Come U Don't Call Me Anymore?,29753.469387755104,123.046875,0.077497035,-73.857704,22.906162,0.9126793494439402,0.00026461724,0.812464,22.96354654906142,0.3875991,0.0,50.0
I Could Never Take the Place of Your Man,29753.469387755104,147.65625,0.05907595,-57.99275,13.413546,0.8089839432741396,0.0006010611,1.1004003,21.038831586767117,0.45000333,0.0,50.0
Scandalous!,30000.0,119.68085106382979,0.14406222,-74.6372,22.125174,0.9357296699744387,0.0037410175,0.9720563,21.242851199804697,0.48080075,0.0,50.0
The Future,29753.469387755104,147.65625,0.22245528,-65.33375,25.81946,0.8809637943455245,0.00019912358,1.2460456,20.588811704334162,0.52272505,0.0,50.0
Around the World in a Day,29753.469387755104,129.19921875,0.033203904,-73.1527,31.072939,0.8904669594582031,0.003959355,0.9129899,23.567186903894,0.24506404,0.0,50.0
Mountains,30000.0,119.68085106382979,0.1954986,-71.52202,22.99367,0.946348723130628,2.9378341e-05,1.1387352,21.515107393186423,0.36684006,0.0,50.0
When You Were Mine,29753.469387755104,143.5546875,0.0798704,-65.12679,20.291039,0.8678896514804509,0.011030079,1.2766141,21.286695988361792,0.55675644,0.0,50.0
Head,30000.0,110.29411764705883,0.13762097,-70.74622,18.463064,0.935686020658451,0.0015455404,0.94100606,21.143729288498413,0.56512564,0.0,50.0
Dirty Mind,30000.0,133.92857142857142,0.1508354,-67.4694,29.040316,0.9007549937430962,0.0001080012,1.2489674,23.083022614077972,0.38352242,0.0,50.0
Ring of Fire,29753.469387755104,103.359375,0.09742323,-65.44548,15.52507,0.9047946849553732,0.0016573186,1.1178156,22.65121253127584,0.46201804,0.0,50.0
I Walk the Line,30000.0,106.13207547169812,0.099632636,-70.82424,21.382048,0.9335194245647419,0.010841026,1.1496922,21.489715007817463,0.45354396,0.0,50.0
Folsom Prison Blues,30000.0,101.33272058823529,0.10166955,-67.69224,21.905073,0.904395785733611,0.016994458,1.1732129,22.69291149013255,0.45007968,0.0,50.0
Hurt,29753.469387755104,123.046875,0.04181611,-63.294388,15.050791,0.8090758261228881,0.00032013934,0.9576501,23.500804064660226,0.281776,0.0,50.0
Jackson,29753.469387755104,109.95678191489361,0.23348303,-65.74855,27.364311,0.8625852282493077,0.015478539,1.2190329,21.091347227141366,0.56988484,0.0,50.0
A Boy Named Sue,30000.0,102.27272727272727,0.13521457,-69.29981,19.980068,0.9309026238744447,0.00043600635,1.1554611,21.46948208827292,0.44124058,0.0,50.0
Sunday Morning Coming Down,29753.469387755104,172.265625,0.09965406,-63.780533,18.872063,0.8702812228235504,0.0005366246,1.1013578,21.965579750410274,0.5284481,0.0,50.0
Get Rhythm,30000.0,129.19921875,0.18485995,-64.0897,22.178223,0.8504783714015797,0.0030477399,1.220818,21.861758764285117,0.53733414,0.0,50.0
Big River,30000.0,125.0,0.21851714,-65.520676,23.886667,0.901897215500827,0.021638686,1.2016207,20.31322346637426,0.43139604,0.0,50.0
Man in Black,30000.0,90.7258064516129,0.25805318,-63.043747,16.667479,0.8283610004338493,4.887853e-05,1.562391,20.418384018935345,0.7591069,0.0,50.0
Ghost Riders in the Sky,29753.469387755104,107.666015625,0.09463114,-61.57545,16.545769,0.8816115070410576,0.0080810245,1.1489949,22.094826672343995,0.47780934,0.0,50.0
Rusty Cage,29753.469387755104,101.33272058823529,0.11772005,-68.17508,22.008646,0.894043586107119,0.0011635514,0.8782509,23.24522260373653,0.41341585,0.0,50.0
Personal Jesus,30000.0,125.0,0.2184505,-63.415108,20.316578,0.8322429883797747,0.00026486634,2.0026207,20.136578532753035,0.6957642,0.0,50.0
The Man Comes Around,29753.469387755104,95.703125,0.085541315,-68.771675,27.319323,0.8944081577179503,0.011025121,1.345392,21.022072758680903,0.45632187,0.0,50.0
Don't Take Your Guns to Town,29753.469387755104,105.46875,0.06673806,-67.68608,20.402245,0.9124075960503377,0.0045226114,1.0973101,21.088292289073557,0.5285475,0.0,50.0
Orange Blossom Special,29753.469387755104,132.51201923076923,0.07195496,-63.439926,15.900626,0.8905674841223732,8.5683656e-05,1.1787469,21.942474444111127,0.4522609,0.0,50.0
Guess Things Happen That Way,30000.0,152.02702702702703,0.11471879,-69.695114,16.424633,0.9398878922646765,0.0037566444,1.0225093,21.784306668616857,0.40084025,0.0,50.0
